Datum,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2025-01-01,107.7,92.7,83.8,79.2,77.2,77.8,86.5,105.7,134.3,160.8,183.6,209.3,205.2,190.0,179.6,176.5,185.8,214.1,224.0,211.5,188.9,166.3,146.8,118.2
2025-01-02,92.2,79.3,75.1,74.5,77.7,88.3,114.4,124.4,116.9,112.9,114.0,124.9,130.6,129.4,126.4,130.6,149.2,186.3,207.2,205.1,187.3,167.1,147.8,118.6
2025-01-03,92.5,79.5,75.2,74.5,77.8,88.7,114.6,124.5,117.1,113.1,114.2,125.3,130.8,129.7,126.6,130.8,149.5,186.6,207.4,205.4,187.3,167.3,147.9,118.8
2025-01-04,101.8,86.3,78.8,75.7,75.6,76.9,90.5,115.8,142.7,159.3,171.8,189.1,188.5,180.6,176.0,175.9,186.7,211.8,220.1,207.5,185.4,167.4,153.8,128.2
2025-01-05,92.6,79.6,75.4,74.9,78.1,88.7,114.8,124.9,117.4,113.3,114.4,125.4,131.2,129.9,126.9,131.0,149.8,187.0,208.0,205.9,187.9,167.7,148.3,119.2
2025-01-06,92.8,79.7,75.5,74.9,78.1,89.0,115.0,125.1,117.6,113.5,114.6,125.7,131.2,130.1,127.0,131.3,149.9,187.4,208.2,206.2,188.1,167.9,148.4,119.2
2025-01-07,92.9,79.8,75.5,74.9,78.1,89.0,115.0,125.1,117.6,113.7,114.6,125.7,131.4,130.2,127.2,131.4,150.0,187.4,208.5,206.3,188.3,168.1,148.7,119.2
2025-01-08,92.9,79.9,75.6,74.9,78.2,89.1,115.2,125.2,117.7,113.7,114.8,125.8,131.6,130.3,127.3,131.4,150.3,187.7,208.6,206.5,188.5,168.3,148.8,119.6
2025-01-09,93.0,80.0,75.7,74.9,78.3,89.1,115.3,125.3,117.9,113.7,114.9,126.1,131.6,130.5,127.3,131.6,150.3,187.8,208.7,206.7,188.6,168.4,148.8,119.6
2025-01-10,93.0,80.0,75.7,75.0,78.4,89.1,115.4,125.5,117.9,113.8,115.0,126.1,131.6,130.5,127.4,131.7,150.4,187.8,208.9,206.8,188.7,168.5,149.0,119.6
2025-01-11,102.4,86.8,79.3,76.3,76.1,77.5,90.9,116.5,143.5,160.1,173.0,190.3,189.7,181.8,177.0,177.0,187.9,213.1,221.4,208.8,186.5,168.2,154.7,129.0
2025-01-12,93.2,80.1,75.9,75.3,78.5,89.3,115.5,125.5,118.0,114.1,115.0,126.1,131.8,130.7,127.6,131.8,150.6,188.2,209.1,207.1,188.9,168.7,149.2,119.7
2025-01-13,93.3,80.1,75.9,75.3,78.5,89.4,115.5,125.6,118.1,114.1,115.0,126.2,131.9,130.7,127.7,131.8,150.7,188.2,209.3,207.1,189.0,168.7,149.2,119.7
2025-01-14,93.3,80.1,75.9,75.3,78.5,89.4,115.6,125.6,118.1,114.1,115.1,126.2,132.0,130.7,127.7,131.9,150.7,188.2,209.3,207.1,189.0,168.8,149.2,119.8
2025-01-15,93.3,80.2,75.9,75.3,78.5,89.4,115.6,125.7,118.1,114.1,115.2,126.2,132.0,130.8,127.7,131.9,150.7,188.2,209.3,207.2,189.1,168.9,149.2,120.0
2025-01-16,93.3,80.2,75.9,75.3,78.5,89.4,115.6,125.7,118.1,114.1,115.2,126.3,132.0,130.9,127.7,131.9,150.7,188.2,209.3,207.2,189.1,168.9,149.3,120.0
2025-01-17,93.3,80.2,75.9,75.3,78.5,89.4,115.6,125.7,118.1,114.1,115.2,126.3,132.0,130.9,127.7,131.9,150.7,188.3,209.3,207.2,189.1,168.9,149.3,120.0
2025-01-18,102.5,86.9,79.5,76.4,76.2,77.6,91.2,116.6,143.8,160.5,173.2,190.5,189.9,182.1,177.4,177.2,188.2,213.4,221.8,209.1,186.8,168.6,155.0,129.2
2025-01-19,93.3,80.2,75.9,75.3,78.5,89.4,115.6,125.7,118.1,114.1,115.1,126.2,132.0,130.7,127.7,131.9,150.7,188.2,209.3,207.1,189.1,168.9,149.2,119.9
2025-01-20,93.3,80.1,75.9,75.3,78.5,89.4,115.5,125.6,118.1,114.1,115.1,126.2,132.0,130.7,127.7,131.9,150.7,188.2,209.3,207.1,189.0,168.8,149.2,119.8
2025-01-21,93.3,80.1,75.9,75.3,78.5,89.4,115.5,125.6,118.1,114.1,115.0,126.2,131.8,130.7,127.7,131.8,150.7,188.2,209.2,207.1,189.0,168.7,149.2,119.7
2025-01-22,93.1,80.1,75.9,75.3,78.5,89.2,115.5,125.5,118.0,114.0,115.0,126.1,131.8,130.7,127.6,131.8,150.6,188.2,209.1,207.1,188.9,168.7,149.2,119.7
2025-01-23,93.1,80.0,75.8,75.1,78.5,89.2,115.4,125.5,118.0,114.0,115.0,126.1,131.6,130.5,127.5,131.8,150.5,188.1,209.0,207.0,188.9,168.5,149.1,119.6
2025-01-24,93.0,80.0,75.7,75.0,78.4,89.1,115.4,125.5,117.9,113.8,115.0,126.1,131.6,130.5,127.4,131.7,150.4,187.8,208.9,206.7,188.7,168.5,149.0,119.6
2025-01-25,102.4,86.7,79.2,76.1,76.0,77.3,90.9,116.3,143.4,160.0,172.7,189.9,189.4,181.5,176.9,176.7,187.7,212.8,221.3,208.4,186.3,168.2,154.6,128.8
2025-01-26,92.9,79.9,75.6,74.9,78.2,89.1,115.2,125.3,117.7,113.7,114.8,125.8,131.6,130.3,127.3,131.5,150.3,187.8,208.6,206.6,188.5,168.3,148.8,119.6
2025-01-27,92.9,79.8,75.6,74.9,78.1,89.1,115.1,125.1,117.6,113.7,114.6,125.7,131.4,130.2,127.2,131.4,150.0,187.4,208.5,206.3,188.3,168.1,148.7,119.2
2025-01-28,92.9,79.8,75.5,74.9,78.1,89.0,115.0,125.1,117.6,113.6,114.6,125.7,131.2,130.1,127.1,131.3,150.0,187.4,208.3,206.3,188.1,168.0,148.5,119.2
2025-01-29,92.6,79.7,75.5,74.9,78.1,88.7,114.9,124.9,117.5,113.3,114.5,125.7,131.2,130.1,126.9,131.2,149.9,187.2,208.1,206.0,188.1,167.9,148.4,119.2
2025-01-30,92.6,79.6,75.4,74.7,78.0,88.7,114.8,124.8,117.3,113.3,114.4,125.3,131.0,129.9,126.9,131.0,149.6,187.0,207.9,205.9,187.7,167.7,148.3,119.2
2025-01-31,92.5,79.5,75.3,74.5,77.9,88.7,114.6,124.7,117.2,113.3,114.2,125.3,130.8,129.7,126.7,130.9,149.5,186.9,207.7,205.5,187.7,167.5,148.0,118.8
2025-02-01,102.5,88.1,81.7,79.7,80.2,81.8,96.1,123.6,151.5,164.5,174.1,187.7,183.6,174.2,168.0,167.3,172.4,195.6,219.4,209.9,187.8,168.9,154.8,129.1
2025-02-02,93.5,81.2,77.5,77.3,81.0,92.3,119.3,126.9,118.1,113.1,112.2,122.3,125.6,122.9,118.8,121.8,134.9,167.5,205.3,208.3,189.9,168.4,147.9,119.3
2025-02-03,93.2,81.0,77.5,77.2,81.0,92.3,119.2,126.8,118.1,112.9,111.9,122.1,125.4,122.7,118.7,121.6,134.8,167.2,205.0,208.3,189.7,168.2,147.7,119.2
2025-02-04,93.2,81.0,77.5,77.1,80.9,92.0,118.9,126.6,117.9,112.8,111.9,121.9,125.3,122.5,118.5,121.6,134.6,167.1,204.6,207.9,189.3,168.0,147.5,119.0
2025-02-05,93.1,80.9,77.3,77.0,80.7,92.0,118.8,126.4,117.7,112.7,111.8,121.7,125.2,122.4,118.4,121.3,134.4,166.7,204.5,207.5,189.3,167.8,147.4,118.9
2025-02-06,92.9,80.6,77.1,76.8,80.6,91.9,118.7,126.2,117.6,112.5,111.5,121.6,124.9,122.1,118.2,121.2,134.2,166.6,204.2,207.2,188.9,167.5,147.1,118.6
2025-02-07,92.7,80.6,77.1,76.7,80.5,91.6,118.4,126.0,117.3,112.3,111.5,121.3,124.8,122.0,118.0,121.0,134.0,166.3,203.8,207.1,188.5,167.2,146.9,118.5
2025-02-08,101.6,87.3,80.9,78.9,79.4,81.0,95.2,122.4,150.1,162.9,172.5,186.0,181.8,172.5,166.4,165.7,170.7,193.7,217.3,207.8,185.9,167.3,153.3,127.7
2025-02-09,92.5,80.3,76.7,76.5,80.2,91.4,118.0,125.6,116.9,112.0,111.1,120.9,124.4,121.6,117.6,120.6,133.6,165.7,203.0,206.3,188.1,166.7,146.3,118.1
2025-02-10,92.3,80.2,76.7,76.3,80.1,91.2,117.9,125.4,116.8,111.7,110.8,120.8,124.1,121.3,117.5,120.4,133.3,165.4,202.8,205.9,187.7,166.4,146.2,118.0
2025-02-11,92.2,80.1,76.6,76.2,79.9,91.1,117.6,125.2,116.5,111.6,110.7,120.5,123.9,121.2,117.2,120.1,133.2,165.2,202.5,205.5,187.3,166.1,145.9,117.7
2025-02-12,91.9,79.8,76.3,76.1,79.8,90.8,117.5,124.9,116.4,111.3,110.4,120.4,123.7,120.9,117.1,120.0,132.8,164.9,202.2,205.1,186.9,165.8,145.6,117.5
2025-02-13,91.8,79.8,76.3,75.9,79.7,90.8,117.2,124.8,116.1,111.2,110.3,120.1,123.3,120.8,116.8,119.7,132.6,164.5,201.8,204.7,186.6,165.5,145.3,117.3
2025-02-14,91.6,79.7,76.2,75.8,79.5,90.6,117.0,124.5,116.0,110.9,109.9,120.0,123.2,120.5,116.5,119.5,132.4,164.3,201.4,204.3,186.2,165.2,145.1,117.0
2025-02-15,100.4,86.2,79.8,77.9,78.4,80.0,94.0,120.8,148.1,160.8,170.2,183.6,179.4,170.3,164.0,163.6,168.6,191.3,214.5,205.2,183.5,165.3,151.3,126.1
2025-02-16,91.2,79.4,75.8,75.5,79.3,90.2,116.5,124.0,115.3,110.5,109.5,119.3,122.7,120.0,116.0,119.0,131.8,163.6,200.5,203.5,185.5,164.5,144.5,116.5
2025-02-17,91.1,79.1,75.6,75.4,79.0,90.0,116.3,123.7,115.2,110.3,109.3,119.2,122.4,119.7,115.9,118.8,131.5,163.2,200.1,203.1,185.1,164.1,144.1,116.3
2025-02-18,90.8,79.0,75.5,75.1,78.9,89.8,116.1,123.6,114.9,110.0,109.1,118.8,122.1,119.5,115.6,118.4,131.2,162.8,199.6,202.7,184.7,163.7,143.9,116.0
2025-02-19,90.7,78.7,75.4,75.0,78.7,89.6,115.8,123.2,114.8,109.7,108.8,118.6,121.9,119.3,115.2,118.2,131.0,162.5,199.1,202.3,184.3,163.3,143.6,115.8
2025-02-20,90.4,78.6,75.1,74.8,78.5,89.4,115.4,122.8,114.4,109.5,108.7,118.4,121.6,118.9,115.1,118.0,130.7,162.1,198.7,201.8,183.9,163.0,143.3,115.5
2025-02-21,90.2,78.4,75.0,74.6,78.3,89.1,115.3,122.7,114.1,109.3,108.3,118.0,121.3,118.7,114.8,117.6,130.3,161.7,198.3,201.3,183.5,162.6,142.9,115.2
2025-02-22,98.9,84.8,78.5,76.7,77.2,78.8,92.5,119.0,145.9,158.3,167.7,180.8,176.7,167.6,161.6,161.1,165.9,188.3,211.2,202.0,180.7,162.6,148.9,124.3
2025-02-23,89.7,78.0,74.6,74.3,77.9,88.7,114.7,122.0,113.6,108.8,107.9,117.6,120.8,118.1,114.3,117.1,129.8,160.9,197.4,200.4,182.5,161.9,142.2,114.7
2025-02-24,89.6,77.8,74.4,74.2,77.7,88.5,114.3,121.6,113.3,108.5,107.5,117.2,120.4,117.8,114.0,116.8,129.5,160.6,196.8,199.9,182.1,161.5,141.8,114.4
2025-02-25,89.3,77.6,74.3,73.9,77.6,88.3,114.1,121.4,113.1,108.1,107.3,116.8,120.1,117.6,113.6,116.5,129.1,160.2,196.3,199.3,181.7,161.1,141.4,114.1
2025-02-26,89.2,77.5,74.0,73.8,77.3,88.1,113.9,121.2,112.8,107.9,107.1,116.7,119.8,117.3,113.4,116.3,128.7,159.8,195.8,198.8,181.2,160.7,141.1,113.8
2025-02-27,88.9,77.2,73.9,73.5,77.2,87.9,113.5,120.8,112.4,107.7,106.7,116.3,119.6,116.9,113.1,115.9,128.3,159.3,195.3,198.4,180.7,160.3,140.8,113.6
2025-02-28,88.6,77.1,73.6,73.4,76.9,87.6,113.1,120.4,112.1,107.3,106.4,116.0,119.2,116.5,112.8,115.6,128.1,158.9,194.9,197.8,180.2,159.8,140.5,113.2
2025-03-01,95.5,82.7,77.2,75.3,76.7,79.2,91.3,118.1,142.3,154.0,161.3,173.0,169.2,160.6,155.6,153.6,156.1,169.5,191.0,195.6,177.1,158.5,144.5,120.2
2025-03-02,85.7,75.2,71.9,71.9,76.2,87.9,109.9,114.8,107.3,103.5,103.8,113.8,118.1,116.5,113.6,116.2,126.0,148.4,180.4,194.2,177.8,157.1,137.7,108.5
2025-03-03,85.6,75.0,71.7,71.7,75.9,87.6,109.6,114.5,107.1,103.4,103.7,113.4,117.7,116.1,113.3,115.9,125.6,148.0,180.0,193.6,177.4,156.7,137.3,108.3
2025-03-04,85.2,74.8,71.5,71.5,75.8,87.4,109.4,114.2,106.8,103.1,103.4,113.2,117.3,115.9,112.9,115.6,125.2,147.4,179.5,193.0,176.8,156.3,136.9,107.9
2025-03-05,84.9,74.6,71.3,71.3,75.5,87.1,109.0,113.8,106.5,102.7,103.0,112.9,117.0,115.6,112.5,115.3,124.9,147.0,179.0,192.5,176.2,155.8,136.5,107.7
2025-03-06,84.8,74.4,71.1,71.0,75.3,86.9,108.6,113.6,106.1,102.3,102.7,112.5,116.8,115.2,112.2,114.9,124.6,146.6,178.3,191.8,175.8,155.2,136.1,107.4
2025-03-07,84.5,74.2,70.9,70.9,75.0,86.6,108.4,113.2,105.8,102.3,102.4,112.2,116.4,114.9,112.0,114.6,124.3,146.2,177.9,191.4,175.3,154.7,135.7,107.0
2025-03-08,93.7,81.0,75.7,73.8,75.1,77.6,89.5,115.9,139.6,151.0,158.1,169.4,165.9,157.3,152.4,150.5,153.0,166.1,187.1,191.7,173.7,155.4,141.7,117.8
2025-03-09,84.0,73.8,70.4,70.5,74.6,86.2,107.7,112.5,105.3,101.5,101.8,111.6,115.7,114.1,111.3,113.9,123.6,145.3,176.8,190.2,174.1,153.9,134.8,106.3
2025-03-10,83.7,73.4,70.2,70.2,74.4,85.8,107.4,112.2,104.9,101.1,101.5,111.2,115.3,113.8,110.9,113.5,123.2,144.9,176.2,189.7,173.7,153.5,134.4,106.1
2025-03-11,83.5,73.3,69.9,70.1,74.2,85.5,107.1,111.8,104.6,100.9,101.2,110.8,114.9,113.5,110.5,113.3,122.8,144.4,175.7,189.0,173.1,153.0,134.0,105.7
2025-03-12,83.1,73.0,69.8,69.8,73.9,85.4,106.7,111.4,104.2,100.7,101.0,110.5,114.5,113.2,110.1,112.9,122.4,144.0,175.2,188.5,172.6,152.5,133.6,105.3
2025-03-13,83.0,72.7,69.5,69.6,73.8,85.0,106.4,111.2,103.8,100.3,100.6,110.1,114.2,112.8,109.9,112.5,122.0,143.5,174.5,187.8,172.1,151.9,133.2,104.9
2025-03-14,82.7,72.6,69.4,69.3,73.4,84.7,106.1,110.8,103.7,99.9,100.2,109.9,113.9,112.4,109.6,112.1,121.6,143.0,174.1,187.3,171.4,151.5,132.7,104.8
2025-03-15,91.7,79.2,74.1,72.2,73.5,76.0,87.6,113.4,136.5,147.7,154.6,165.7,162.3,154.0,149.2,147.3,149.7,162.5,183.2,187.5,169.9,152.1,138.7,115.4
2025-03-16,82.2,72.1,69.0,68.9,73.0,84.2,105.4,110.0,102.9,99.3,99.6,109.1,113.2,111.7,108.9,111.4,120.8,142.1,173.0,186.1,170.3,150.5,131.8,104.1
2025-03-17,81.9,71.9,68.6,68.6,72.6,83.9,105.0,109.6,102.6,99.1,99.3,108.8,112.8,111.3,108.5,111.1,120.4,141.7,172.3,185.4,169.8,150.1,131.4,103.7
2025-03-18,81.6,71.6,68.4,68.5,72.6,83.6,104.6,109.3,102.2,98.7,99.0,108.4,112.4,110.9,108.1,110.7,120.0,141.1,171.8,184.9,169.2,149.4,131.0,103.4
2025-03-19,81.3,71.4,68.2,68.2,72.2,83.4,104.2,108.9,101.8,98.3,98.6,108.0,112.0,110.6,107.7,110.3,119.7,140.7,171.3,184.1,168.7,149.0,130.6,103.0
2025-03-20,81.0,71.1,67.9,68.0,72.1,83.1,103.9,108.6,101.5,97.9,98.2,107.6,111.7,110.2,107.3,109.9,119.2,140.3,170.6,183.6,168.1,148.5,130.2,102.6
2025-03-21,80.7,70.9,67.8,67.7,71.8,82.8,103.6,108.2,101.2,97.5,97.9,107.3,111.3,109.8,106.9,109.5,118.8,139.9,170.1,182.9,167.6,148.0,129.7,102.3
2025-03-22,89.6,77.4,72.4,70.5,71.9,74.1,85.5,110.8,133.3,144.3,151.2,161.9,158.4,150.4,145.7,143.8,146.3,158.8,178.9,183.2,165.9,148.5,135.4,112.6
2025-03-23,80.1,70.4,67.4,67.3,71.4,82.2,103.0,107.5,100.5,97.1,97.3,106.5,110.5,109.1,106.3,108.8,118.0,138.7,168.9,181.7,166.4,147.0,128.7,101.7
2025-03-24,80.0,70.2,67.0,67.0,71.0,81.9,102.6,107.2,100.2,96.7,96.9,106.1,110.1,108.7,105.9,108.4,117.6,138.3,168.4,181.0,165.8,146.4,128.3,101.3
