Monat,Tage,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
01,31,5069.7,4787.9,4691.2,4623.8,4791.4,5331.2,6218.4,6531.2,6772.2,5684.4,4593.4,4114.9,4186.1,4202.7,4561.3,5692.4,7472.8,8601.4,9381.8,8854.5,8394.4,7605.3,6485.5,5593.8
02,28,4240.8,4043.7,4008.7,4024.9,4195.1,4693.8,5498.4,5466.8,4311.1,3026.7,2254.6,1918.1,1966.6,2000.4,2017.7,2637.3,4095.2,6142.5,7411.7,7190.5,6835.6,6163.5,5205.3,4578.5
03,31,4186.6,4107.3,4170.6,4239.2,4367.0,5101.0,5816.0,4387.5,2902.1,1911.5,1471.2,1419.1,1401.4,1326.8,1324.2,1723.6,2562.0,4268.9,6797.1,7350.3,7025.9,6249.7,5294.7,4566.3
04,30,3537.9,3450.5,3373.9,3486.9,3613.1,4205.4,4484.1,3182.6,2187.0,1558.4,1234.1,1134.8,1051.7,1027.7,1012.5,1168.1,1519.2,2132.3,3513.1,4949.3,5835.7,5186.5,4503.8,3801.7
05,31,2485.6,2411.9,2404.9,2375.6,2532.0,2760.4,2132.9,1454.7,1136.6,860.0,641.3,622.0,649.4,570.5,562.4,547.3,766.7,1191.7,2013.4,2754.9,3846.6,3981.3,3381.2,2844.8
06,30,2390.7,2240.9,2217.2,2138.4,2269.7,2204.6,1662.6,1252.4,1011.2,727.2,590.7,540.8,585.3,515.8,505.4,568.6,677.1,1091.0,1841.7,2428.5,3167.9,3714.1,3288.6,2769.9
07,31,2384.6,2264.7,2240.3,2228.7,2349.4,2384.8,1825.8,1345.3,1056.5,815.3,668.5,691.3,612.1,560.5,613.1,664.1,797.0,1174.4,1747.5,2281.2,3204.4,3710.3,3281.1,2795.5
08,31,2472.4,2323.0,2320.4,2284.4,2419.6,2673.2,2669.3,1741.8,1354.3,1023.7,756.1,715.4,651.4,541.6,605.4,782.8,895.8,1429.7,2170.4,3018.1,3868.6,3703.8,3250.1,2691.4
09,30,2437.9,2308.2,2266.4,2229.3,2363.6,2842.0,3543.0,2813.8,1752.2,1159.9,838.7,742.9,771.4,692.8,655.8,669.9,1011.2,1805.9,3298.5,4470.7,4363.3,3824.4,3374.1,2817.3
10,31,3131.8,2954.2,2890.2,2860.0,3029.9,3505.4,4213.0,4463.1,3604.6,2509.1,1838.0,1567.2,1560.6,1398.5,1364.2,1623.6,2317.3,3850.0,5908.1,5879.3,5391.2,4801.1,4195.0,3553.1
11,30,4011.6,3813.7,3770.8,3821.3,3983.6,4463.8,5414.0,5538.1,4594.4,3552.7,3071.5,2878.8,2984.3,2864.9,3403.0,4483.3,6198.5,7332.8,7851.0,7469.4,7018.6,6250.1,5353.9,4545.0
12,31,5437.7,5084.0,4972.8,4930.7,5088.8,5558.3,6438.7,6838.0,7187.5,6621.3,5891.5,5493.9,5500.9,5615.0,6038.6,7154.3,8413.8,9171.2,9706.9,9234.1,8823.8,8058.1,6930.7,5969.1
