Datum,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2025-01-01,166.5,153.3,145.9,145.5,145.3,151.1,156.9,170.6,204.5,197.3,179.9,182.4,174.6,168.4,180.3,207.6,259.5,287.5,305.4,295.8,271.2,238.9,195.4,169.5
2025-01-02,160.6,152.4,149.8,147.5,153.6,173.1,205.0,211.8,214.7,176.5,137.8,123.8,127.3,130.0,140.1,175.9,235.8,273.8,300.1,284.1,270.3,243.4,207.6,178.3
2025-01-03,160.9,152.7,150.1,147.8,154.0,173.4,205.4,212.0,215.1,176.7,138.1,124.0,127.5,130.2,140.2,176.2,235.9,274.2,300.5,284.5,270.7,243.8,207.9,178.5
2025-01-04,173.7,160.0,154.6,153.0,154.5,160.9,171.8,203.4,235.1,215.5,200.1,171.8,168.5,156.9,177.7,218.6,259.4,284.0,303.7,278.8,260.6,247.1,213.0,188.1
2025-01-05,161.3,153.1,150.5,148.2,154.4,173.8,205.9,212.6,215.6,177.2,138.4,124.4,127.9,130.5,140.6,176.7,236.6,275.0,301.2,285.2,271.2,244.4,208.4,179.0
2025-01-06,161.4,153.2,150.6,148.3,154.4,174.0,206.2,212.7,215.8,177.3,138.5,124.4,127.9,130.6,140.7,176.7,236.9,275.3,301.5,285.4,271.5,244.6,208.5,179.2
2025-01-07,161.6,153.3,150.7,148.4,154.8,174.2,206.4,213.0,216.0,177.6,138.6,124.5,128.1,130.8,140.9,177.0,237.0,275.5,301.9,285.8,271.9,244.9,208.8,179.3
2025-01-08,161.7,153.5,150.9,148.6,154.8,174.3,206.6,213.1,216.2,177.6,138.8,124.7,128.3,130.9,141.0,177.1,237.3,275.8,302.1,286.1,272.0,245.0,208.9,179.5
2025-01-09,161.8,153.6,151.0,148.6,154.8,174.4,206.6,213.4,216.4,177.8,138.9,124.8,128.3,131.0,141.1,177.3,237.4,276.1,302.3,286.2,272.3,245.3,209.2,179.6
2025-01-10,162.0,153.7,151.0,148.7,155.0,174.6,206.8,213.4,216.5,178.0,139.0,124.8,128.4,131.0,141.2,177.4,237.6,276.2,302.5,286.5,272.4,245.4,209.2,179.9
2025-01-11,174.7,160.9,155.7,153.9,155.5,161.9,172.8,204.7,236.5,216.8,201.4,172.9,169.5,157.9,178.8,219.9,261.2,285.8,305.5,280.5,262.2,248.7,214.3,189.2
2025-01-12,162.1,153.9,151.3,149.0,155.2,174.7,207.0,213.7,216.8,178.2,139.0,124.9,128.5,131.2,141.4,177.5,237.8,276.5,302.9,286.6,272.7,245.8,209.5,180.0
2025-01-13,162.1,154.0,151.3,149.0,155.2,174.8,207.1,213.8,216.9,178.2,139.1,125.1,128.6,131.3,141.4,177.7,238.0,276.6,302.9,286.9,272.8,245.8,209.6,180.0
2025-01-14,162.2,154.0,151.4,149.0,155.2,174.9,207.2,213.8,216.9,178.2,139.3,125.1,128.7,131.3,141.4,177.7,238.0,276.7,303.1,287.0,273.1,245.8,209.6,180.0
2025-01-15,162.2,154.0,151.4,149.0,155.3,175.0,207.2,213.9,216.9,178.3,139.3,125.2,128.7,131.3,141.5,177.7,238.1,276.7,303.1,287.0,273.1,245.8,209.6,180.0
2025-01-16,162.3,154.0,151.4,149.0,155.3,175.0,207.3,213.9,216.9,178.3,139.3,125.2,128.7,131.4,141.5,177.8,238.1,276.8,303.1,287.0,273.1,245.8,209.7,180.2
