Monat,Tage,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
01,31,7010.2,6675.3,6728.3,7061.5,7433.1,8400.5,9532.0,10422.6,10632.4,8843.2,7160.0,6444.5,6242.1,5678.7,5905.5,7386.6,9518.8,11424.1,12214.6,11621.9,11171.2,10270.4,9087.4,7796.6
02,28,5241.5,5019.9,5223.1,5411.8,5903.5,6625.6,7868.2,8321.0,6523.8,4611.9,3354.1,2924.4,2773.8,2454.8,2393.1,2687.5,3490.7,5291.6,6391.8,6129.3,6120.7,6052.5,5732.9,5276.2
03,31,3375.1,3452.0,3605.4,3829.8,4396.6,5311.5,6588.0,5680.5,3860.4,2595.5,1938.7,1645.6,1441.0,1229.4,1135.8,1370.6,1780.8,2548.8,3539.6,3880.0,4012.7,3965.2,3640.3,3441.6
04,30,1685.1,1777.7,1960.1,2185.3,2562.0,3282.2,4022.5,3180.1,2138.5,1499.2,1099.7,954.7,823.3,655.6,552.0,623.0,898.8,1005.4,1302.3,1616.3,1839.0,1803.3,1833.9,1728.0
05,31,606.2,602.0,647.6,735.8,958.6,1324.0,1243.6,986.4,754.4,555.1,446.9,369.6,300.4,207.8,181.1,188.9,251.8,407.8,535.5,666.2,758.4,686.8,659.7,614.9
06,30,434.9,431.9,454.4,539.2,721.5,848.7,793.5,715.1,565.0,373.6,321.2,233.1,260.8,185.4,181.7,190.5,229.0,309.5,400.0,446.3,556.9,581.9,579.4,465.3
07,31,527.5,523.4,579.7,641.6,786.4,1014.4,953.1,804.4,668.7,562.4,541.1,475.7,419.2,282.3,264.0,250.7,301.4,431.6,522.1,580.6,650.6,732.8,678.5,582.2
08,31,775.2,788.2,804.6,876.8,1043.2,1452.0,1757.9,1555.5,1115.1,782.4,585.2,497.9,424.7,292.0,256.5,239.9,318.5,463.7,622.0,733.8,767.8,766.0,758.6,762.7
09,30,746.6,796.5,888.7,1026.1,1222.1,1657.3,2394.6,2518.1,1461.2,855.3,556.4,438.1,440.3,344.3,294.1,299.8,391.0,598.0,893.4,934.5,818.4,818.7,801.5,800.8
10,31,2496.1,2440.0,2514.1,2685.1,3001.5,3627.6,4669.4,5706.2,4971.6,3496.1,2415.2,1978.9,1777.9,1342.9,1262.4,1463.0,2142.3,2844.8,3471.1,3510.8,3435.9,3435.6,3221.7,2889.6
11,30,5529.7,5339.9,5243.4,5494.3,5817.8,6719.8,8173.5,8745.6,7565.6,5838.2,4504.9,4018.5,4028.1,3817.8,4240.9,5607.2,6963.5,8119.4,8738.0,8469.3,8456.7,7797.5,6860.4,6143.9
12,31,8545.1,7957.7,7665.3,7756.9,8146.6,9023.0,10622.7,11673.5,12081.2,10730.9,9280.2,8434.7,7891.7,7829.7,8651.0,10353.6,12584.8,13898.8,13858.9,13379.0,13084.7,11811.6,10471.6,9077.7
