Datum,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2025-01-01,252.2,240.4,231.9,232.1,224.2,236.5,268.6,288.6,343.1,336.8,303.3,287.3,238.7,226.5,231.8,278.8,340.2,413.4,428.0,408.9,371.7,329.1,294.3,243.4
2025-01-02,221.4,210.5,214.1,226.0,240.2,274.2,311.4,337.0,336.2,276.1,219.6,196.9,192.8,175.2,182.3,225.6,297.1,353.4,379.0,360.7,353.4,326.1,286.8,245.7
2025-01-03,221.8,210.8,214.5,226.3,240.5,274.6,311.8,337.5,336.8,276.5,220.0,197.1,193.0,175.4,182.4,225.9,297.5,353.9,379.4,361.2,353.9,326.6,287.2,246.1
2025-01-04,239.2,229.7,220.9,226.9,228.5,245.2,276.4,325.6,369.4,317.2,275.1,249.2,237.8,215.3,224.6,298.7,348.1,437.2,464.0,439.9,384.8,348.3,319.3,278.8
2025-01-05,222.2,211.3,215.0,226.9,241.2,275.2,312.5,338.3,337.5,277.3,220.6,197.7,193.5,175.8,183.0,226.6,298.3,354.7,380.4,362.1,354.8,327.4,288.0,246.6
2025-01-06,222.6,211.6,215.3,227.1,241.4,275.6,312.9,338.7,337.9,277.5,220.8,197.8,193.8,176.0,183.1,226.7,298.6,355.1,380.8,362.5,355.2,327.7,288.1,246.9
2025-01-07,222.6,211.7,215.5,227.4,241.7,275.8,313.3,339.0,338.2,277.8,221.0,198.1,193.9,176.2,183.4,227.0,298.8,355.5,381.2,362.9,355.5,328.1,288.5,247.1
2025-01-08,223.0,212.0,215.7,227.5,241.9,276.0,313.5,339.4,338.6,278.2,221.2,198.2,194.2,176.4,183.5,227.1,299.2,355.9,381.5,363.2,355.8,328.5,288.8,247.3
2025-01-09,223.0,212.1,215.9,227.8,242.1,276.3,313.7,339.7,338.8,278.2,221.4,198.3,194.2,176.5,183.5,227.4,299.4,356.0,381.8,363.5,356.1,328.7,288.9,247.6
2025-01-10,223.3,212.2,215.9,227.9,242.2,276.4,314.1,339.8,339.0,278.6,221.4,198.6,194.4,176.6,183.8,227.5,299.6,356.3,382.1,363.7,356.4,328.9,289.3,247.7
2025-01-11,240.6,231.3,222.3,228.2,229.9,246.8,278.0,327.7,371.8,319.2,276.7,250.8,239.1,216.7,225.8,300.5,350.2,439.9,466.9,442.6,387.2,350.5,321.3,280.6
2025-01-12,223.4,212.4,216.2,228.2,242.5,276.8,314.3,340.2,339.4,278.8,221.8,198.7,194.6,176.8,183.9,227.8,300.0,356.7,382.5,364.1,356.7,329.3,289.5,248.0
2025-01-13,223.4,212.6,216.3,228.2,242.5,276.8,314.5,340.4,339.5,279.0,221.8,198.9,194.6,176.9,183.9,227.9,300.0,356.8,382.6,364.2,356.8,329.3,289.7,248.0
2025-01-14,223.7,212.6,216.3,228.3,242.7,276.8,314.5,340.5,339.7,279.0,221.8,198.9,194.7,176.9,184.1,227.9,300.1,357.0,382.8,364.4,356.9,329.5,289.7,248.1
2025-01-15,223.7,212.6,216.5,228.3,242.7,277.0,314.5,340.5,339.7,279.0,221.8,199.0,194.8,177.0,184.1,227.9,300.1,357.1,382.8,364.5,357.0,329.6,289.7,248.2
2025-01-16,223.8,212.7,216.5,228.3,242.8,277.0,314.5,340.5,339.8,279.0,221.9,199.0,194.8,177.0,184.2,227.9,300.2,357.1,382.9,364.5,357.1,329.7,289.7,248.3
2025-01-17,223.8,212.7,216.5,228.3,242.8,277.0,314.5,340.5,339.8,279.0,221.9,199.0,194.8,177.0,184.2,227.9,300.2,357.1,382.9,364.5,357.1,329.7,289.7,248.3
2025-01-18,241.0,231.5,222.7,228.6,230.3,247.2,278.4,328.1,372.3,319.6,277.1,251.1,239.5,216.9,226.2,301.0,350.8,440.7,467.5,443.2,387.8,351.1,321.7,281.0
2025-01-19,223.7,212.6,216.4,228.3,242.7,276.9,314.5,340.5,339.7,279.0,221.8,199.0,194.8,177.0,184.1,227.9,300.1,357.1,382.8,364.5,356.9,329.6,289.7,248.2
2025-01-20,223.6,212.6,216.3,228.3,242.6,276.8,314.5,340.5,339.7,279.0,221.8,198.9,194.7,176.9,184.1,227.9,300.0,357.0,382.7,364.4,356.9,329.4,289.7,248.1
2025-01-21,223.4,212.5,216.3,228.2,242.5,276.8,314.5,340.3,339.5,278.8,221.8,198.7,194.6,176.9,183.9,227.9,300.0,356.8,382.6,364.2,356.8,329.3,289.7,248.0
2025-01-22,223.4,212.4,216.1,228.2,242.5,276.8,314.1,340.2,339.4,278.7,221.8,198.7,194.6,176.8,183.9,227.7,300.0,356.7,382.4,364.1,356.7,329.3,289.5,248.0
2025-01-23,223.4,212.4,216.1,227.9,242.4,276.5,314.1,340.1,339.3,278.6,221.7,198.6,194.6,176.8,183.8,227.5,299.7,356.4,382.2,364.0,356.5,329.1,289.3,247.9
2025-01-24,223.3,212.2,215.9,227.9,242.2,276.4,314.1,339.8,339.0,278.6,221.4,198.6,194.4,176.6,183.8,227.5,299.6,356.3,382.1,363.7,356.3,328.9,289.3,247.7
2025-01-25,240.3,230.9,222.0,228.1,229.7,246.4,277.7,327.2,371.1,318.8,276.3,250.5,239.0,216.5,225.6,300.1,349.8,439.5,466.3,442.0,386.7,350.1,320.9,280.2
2025-01-26,223.0,212.0,215.7,227.5,242.0,276.0,313.6,339.4,338.6,278.2,221.2,198.2,194.2,176.4,183.5,227.1,299.2,355.9,381.6,363.2,355.8,328.5,288.9,247.3
2025-01-27,222.6,211.8,215.5,227.4,241.7,275.9,313.3,339.1,338.3,277.8,221.0,198.1,194.0,176.2,183.4,227.1,299.0,355.6,381.2,362.9,355.6,328.1,288.5,247.2
2025-01-28,222.6,211.6,215.3,227.1,241.6,275.6,312.9,338.9,338.1,277.7,220.8,197.9,193.8,176.1,183.1,226.7,298.7,355.2,381.0,362.6,355.2,328.1,288.4,246.9
2025-01-29,222.2,211.4,215.1,227.0,241.3,275.3,312.7,338.6,337.8,277.4,220.6,197.8,193.6,176.0,183.0,226.6,298.4,355.0,380.6,362.3,354.9,327.7,288.1,246.7
2025-01-30,222.2,211.2,214.9,226.7,241.0,275.1,312.5,338.2,337.4,277.0,220.4,197.5,193.4,175.8,182.8,226.3,298.1,354.6,380.2,361.9,354.5,327.3,287.7,246.5
2025-01-31,221.8,211.0,214.7,226.6,240.8,274.8,312.1,337.8,337.0,276.8,220.2,197.4,193.2,175.6,182.7,226.2,297.8,354.2,379.8,361.5,354.2,326.9,287.5,246.2
2025-02-01,217.9,202.6,201.7,203.3,210.9,231.6,273.0,314.6,279.1,217.1,157.9,157.7,142.1,126.2,118.9,114.0,130.8,182.9,221.2,217.1,245.2,233.5,217.2,206.8
2025-02-02,186.9,180.2,188.8,196.7,216.4,243.7,289.7,302.1,231.4,160.3,116.6,98.3,94.5,83.5,82.1,95.4,126.9,195.0,235.4,225.0,219.9,218.9,208.0,190.3
